gag	0__-32.93	NL43	99.933	1500	1	0	1	1500	797	2296	0.0	2765	-32.93
gag	1__-40.43	NL43	100.000	1500	0	0	1	1500	797	2296	0.0	2771	-40.43
gag	2__-38.76	89.6	100.000	1500	0	0	1	1500	790	2289	0.0	2771	-38.76
gag	3__-46.68	HXB2	98.600	1500	21	0	1	1500	797	2296	0.0	2654	-46.68
gag	4__-51.41	HXB2	99.333	1500	10	0	1	1500	797	2296	0.0	2715	-51.41
gag	5__-42.68	JRCSF	100.000	1498	0	0	1	1498	794	2291	0.0	2767	-42.68
gag	6__-85.41	JRCSF	99.733	1499	4	0	1	1499	793	2291	0.0	2747	-85.41
gag	7__-100.59	YU2	98.600	1500	21	0	1	1500	793	2292	0.0	2654	-100.59
gag	8__-121.41	HXB2	97.932	1499	31	0	1	1499	798	2296	0.0	2597	-121.41
gag	9__-148.49	YU2	99.400	1500	9	0	1	1500	793	2292	0.0	2721	-148.49
gag	10__-181.44	HXB2	98.000	1500	30	0	1	1500	797	2296	0.0	2604	-181.44
gag	11__-196.85	JRCSF	98.532	1499	22	0	1	1499	793	2291	0.0	2647	-196.85
gag	12__-218.65	YU2	98.130	1497	28	0	1	1497	793	2289	0.0	2610	-218.65
gag	13__-233.78	JRCSF	97.928	1496	31	0	1	1496	793	2288	0.0	2591	-233.78
gag	14__-235.94	89.6	99.333	1499	10	0	1	1499	791	2289	0.0	2713	-235.94
gag	15__-267.71	89.6	98.867	1500	17	0	1	1500	790	2289	0.0	2676	-267.71
gag	16__-289.55	89.6	98.467	1500	23	0	1	1500	790	2289	0.0	2643	-289.55
gag	25__-309.71	JRCSF	97.999	1499	30	0	1	1499	793	2291	0.0	2603	-309.71
gag	31__-315.54	89.6	97.267	1500	41	0	1	1500	790	2289	0.0	2543	-315.54
gag	33__-335.89	YU2	97.135	1501	39	3	1	1499	794	2292	0.0	2531	-335.89
gag	39__-333.24	89.6	98.067	1500	29	0	1	1500	790	2289	0.0	2610	-333.24
gag	51__-349.71	NL43	96.867	1500	47	0	1	1500	797	2296	0.0	2510	-349.71
gag	53__-364.82	NL43	96.867	1500	45	1	1	1498	797	2296	0.0	2508	-364.82
gag	82__-370.17	YU2	95.524	1497	67	0	1	1497	793	2289	0.0	2394	-370.17
env	0__-139.38	NL43	98.677	2569	9	9	13	2556	6250	8818	0.0	4532	-139.38
env	1__-88.43	JRCSF	99.648	2558	4	3	11	2564	6229	8785	0.0	4669	-88.43
env	2__-150.05	NL43	98.677	2569	9	9	13	2556	6250	8818	0.0	4532	-150.05
env	3__-153.37	NL43	98.754	2569	7	9	13	2556	6250	8818	0.0	4543	-153.37
env	4__-101.53	JRCSF	99.609	2558	5	3	11	2564	6229	8785	0.0	4663	-101.53
env	5__-160.30	NL43	96.301	2568	68	11	13	2554	6250	8816	0.0	4191	-160.30
env	6__-112.09	JRCSF	99.101	2558	17	4	11	2563	6229	8785	0.0	4591	-112.09
